0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
839.4774,292.73462,0.96310115,838.67004,281.62878,0.9223918,829.39844,279.71948,0.991325,801.6698,285.35278,0.6762684,789.55383,284.0774,0.9747203,810.1775,361.54523,0.89758,771.48816,357.79297,0.9001834,900.20593,337.34827,0.8476546,891.0321,319.88647,0.9425159,987.4635,283.4167,0.8697595,989.0814,271.1007,0.9856474,818.7704,567.004,0.8712953,787.63416,569.0753,0.89776325,833.6481,741.29333,0.86559,810.6887,748.3375,0.9258026,817.86035,900.6283,0.9652239,790.8137,934.33813,0.9416343
841.79736,289.63452,0.9849581,840.4778,279.05096,0.98280907,829.2584,277.61896,0.97071064,807.8838,286.40112,0.6336961,788.85254,285.19482,0.9842914,811.4404,360.7129,0.918272,775.01,357.68146,0.91826075,909.97034,342.25427,0.8574624,895.75305,327.9936,0.9257289,994.98193,289.12665,0.9210249,995.56885,280.4602,0.95618594,817.23145,568.7628,0.86954373,787.615,570.9734,0.90289086,833.74817,742.02454,0.8507943,811.5552,748.828,0.93581295,817.853,903.121,0.9551674,791.72485,938.4066,0.9193965
845.40955,296.15063,1.005124,844.0962,282.85925,0.95216393,834.6133,281.34424,0.98115116,807.61584,287.83307,0.66853225,793.6244,287.3109,0.97805995,814.7355,358.3416,0.9369316,781.63916,356.82715,0.9401073,909.7788,349.83032,0.81984234,895.15784,340.10168,0.9062003,993.3679,306.97437,0.78042936,997.63525,299.49408,0.9463505,818.7655,571.3995,0.87836593,787.2927,574.8101,0.9193629,834.9862,744.46564,0.90443563,811.6244,751.2293,0.8882098,818.86035,909.27057,1.005246,790.92786,938.5876,0.9248294
847.5216,301.97424,0.97967637,846.6698,288.87183,0.96742964,837.7678,287.19458,0.9836865,808.1013,291.15118,0.6749959,797.97034,289.74054,0.98016226,808.9928,361.6203,0.85180974,781.90906,358.26666,0.9307642,897.942,366.08667,0.72367936,892.0477,354.5822,0.9458699,974.38367,334.2763,0.6746484,1001.7428,320.68402,0.96661127,815.4253,573.03784,0.86067533,788.7949,575.2234,0.91078424,833.05457,745.2228,0.88373816,811.9276,752.10474,0.86764145,820.5419,908.3717,0.9411056,793.34644,940.386,0.9459709
853.49805,303.20758,0.9857247,852.6881,289.57178,0.9510089,843.8153,287.02814,1.0003871,811.3595,291.2685,0.7165442,801.30676,289.84082,0.9828967,808.99097,362.432,0.8656498,787.39343,361.11517,0.92402744,892.8508,382.30695,0.49113685,895.43835,369.6469,0.9225143,988.6666,355.88068,0.4013292,1008.57983,349.99847,0.90901685,814.86523,573.7414,0.8338817,789.0875,576.46515,0.9077606,834.86475,747.49335,0.88070047,811.42676,754.5617,0.9175758,820.9197,909.3249,0.9600563,795.11194,942.9162,0.92403406
858.2843,307.0691,0.98186845,857.02356,293.263,0.9484817,847.8834,291.91522,0.97462714,821.2793,294.35437,0.6898338,806.72546,293.3095,0.9915217,819.7595,366.68658,0.87586176,787.3147,365.5103,0.9165908,911.2024,392.09235,0.7847953,900.6293,388.02905,0.96432704,1009.24,385.3211,0.85819006,1011.845,387.38837,0.8913222,819.312,577.1662,0.86134696,788.2224,579.7485,0.88494873,836.0488,750.9687,0.86777353,811.7927,757.66156,0.8792614,824.61865,912.88666,0.9729312,796.08765,945.11273,0.95164704
864.96594,309.59634,0.9998243,864.25635,295.7886,0.9700754,853.79395,294.90628,0.9841326,831.7455,297.6083,0.6914402,812.30615,297.2889,0.97557616,825.27576,370.04343,0.88955677,793.5261,368.3076,0.91527426,916.81384,408.0532,0.8662784,904.1979,413.88162,0.9348211,1018.27563,404.57693,0.970932,1002.2317,440.62155,0.97342396,816.36414,578.4518,0.85759234,787.0895,580.6113,0.9031634,836.38196,749.37366,0.88271415,813.31616,755.7499,0.8675004,825.14905,913.5482,0.93872106,797.0792,946.5582,0.9403711
875.07263,315.28546,0.97920287,874.8882,301.0982,0.9536862,864.7926,299.13605,0.9886904,839.6763,301.30536,0.70745766,824.1044,299.97797,0.98292977,833.1328,374.6136,0.912675,801.3795,370.84772,0.94742346,914.151,432.81268,0.89423287,890.7207,440.97577,0.9727003,1011.9603,449.8078,0.95228267,980.18115,490.3039,0.9255699,812.98035,579.04047,0.84773296,783.38477,579.7337,0.88718486,836.19995,751.6862,0.8915241,812.89624,757.9998,0.8553107,825.81006,915.0733,0.9419998,797.8998,948.5523,0.9309659
891.0069,322.45392,0.9858254,889.9838,308.05334,0.9630369,881.0241,307.1803,0.9865535,851.1171,307.9223,0.70080376,839.60443,307.50024,0.97540736,841.1921,381.25836,0.9012723,814.7653,377.0067,0.9333764,904.3398,454.64862,0.92747337,874.5241,466.39258,0.93740225,993.0235,496.62585,0.9650935,943.5461,543.5037,1.0190516,809.0367,580.56036,0.84689564,779.85516,581.4445,0.88848495,834.91425,750.618,0.86375046,810.00995,759.0601,0.89631474,826.47394,913.81036,0.92636335,799.9366,950.9637,0.94550383
910.5568,332.34528,0.98678863,909.5643,317.95227,0.95323646,899.96954,316.30243,0.9719899,866.8453,315.30933,0.7741312,857.8039,315.06396,0.9886602,854.80597,392.2298,0.89616144,825.54254,387.04572,0.92882776,894.45306,479.90942,0.92465794,853.1777,484.87225,0.893545,960.71686,543.0242,0.9496132,891.9484,581.41724,0.9420717,803.26556,582.25745,0.8785079,772.18317,583.1393,0.88605154,833.2946,750.765,0.9013927,807.6158,760.20715,0.92146146,826.201,915.91394,0.9370184,801.9611,951.05176,0.9476373
